country,country_name,bidding_zone,psr_type,generation_type,start_time,position,quantity_mw
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,50,390.36
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,51,386.53
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,52,382.68
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,53,381.47
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,54,386.67
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,55,391.33
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,56,391.78
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,57,393.26
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,58,389.65
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,59,389.36
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,60,396.2
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,61,402.26
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,62,411.33
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,63,413.98
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,64,419.29
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,65,422.65
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,66,422.53
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,67,421.41
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,68,421.31
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,69,420.96
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,70,421.45
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,71,417.36
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,72,415.61
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,73,413.34
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,74,414.78
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,75,413.46
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,76,416.15
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,77,416.28
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,78,413.89
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,79,415.94
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,80,419.84
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,81,421.72
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,82,421.09
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,83,420.25
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,84,421.13
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,85,420.66
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,86,420.32
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,87,420.2
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,88,422.55
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,89,421.37
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,90,421.26
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,91,422.37
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,92,420.58
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,93,420.91
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,94,420.5
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,95,420.3
FR,France,10YFR-RTE------C,B01,Biomass,2026-01-27 00:00:00+00:00,96,420.42
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,1,2169.5
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,2,2105.05
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,3,2104.82
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,4,2046.76
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,5,2007.18
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,6,2000.13
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,7,2007.83
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,8,2025.36
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,9,2010.57
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,10,2001.21
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,11,1986.71
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,12,1993.75
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,13,1973.36
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,14,1970.76
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,15,1986.91
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,16,1986.31
FR,France,10YFR-RTE------C,B04,Fossil Gas,2026-01-27 00:00:00+00:00,17,1992.21
