country,bidding_zone,psr_type,start_time,position,quantity_mw
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,77,5894.58
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,78,5872.65
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,79,5699.72
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,80,5486.72
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,81,5580.56
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,82,5665.94
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,83,5756.24
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,84,5903.85
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,85,5909.27
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,86,5649.32
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,87,5851.67
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,88,5939.22
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,89,5913.3
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,90,5776.31
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,91,5927.32
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,92,5554.12
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,93,5013.78
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,94,4993.53
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,95,4990.06
FR,10YFR-RTE------C,B04,2026-01-27T00:00Z,96,4799.82
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,1,253.07
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,2,256.72
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,3,257.31
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,4,257.27
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,5,257.03
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,6,257.16
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,7,257.12
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,8,256.98
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,9,256.76
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,10,257.05
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,11,256.98
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,12,256.76
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,13,257.17
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,14,256.89
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,15,256.78
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,16,256.76
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,17,256.87
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,18,256.8
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,19,256.92
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,20,256.52
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,21,256.66
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,22,256.98
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,23,257.45
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,24,257.71
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,25,257.72
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,26,260.03
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,27,305.48
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,28,378.0
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,29,414.6
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,30,414.68
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,31,414.53
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,32,415.0
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,33,414.64
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,34,414.87
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,35,414.78
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,36,414.68
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,38,414.81
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,39,414.39
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,40,414.5
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,41,414.88
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,42,414.95
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,43,414.96
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,44,414.58
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,45,414.53
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,46,414.63
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,47,414.67
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,48,414.98
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,49,414.37
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,50,414.53
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,51,414.73
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,52,473.56
FR,10YFR-RTE------C,B05,2026-01-27T00:00Z,53,541.95
